N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST,LANG
4,1000,10,100,10,10,1002942,528555,1.89751681471181,0.474379203677952,2114220,cpp_adv_stat
1,1000,10,100,10,100,9510641,9510641,1,1,9510641,cpp_adv_stat
2,1000,10,100,10,100,9510641,5742893,1.65607142602169,0.828035713010847,11485786,cpp_adv_stat
3,1000,10,100,10,100,9510641,4887320,1.94598286995736,0.648660956652453,14661960,cpp_adv_stat
4,1000,10,100,10,100,9510641,4413812,2.15474537655886,0.538686344139714,17655248,cpp_adv_stat
1,1000,10,10,100,10,1025743,1025743,1,1,1025743,cpp_adv_stat
2,1000,10,10,100,10,1025743,594918,1.72417543258062,0.862087716290312,1189836,cpp_adv_stat
3,1000,10,10,100,10,1025743,503493,2.03725374533509,0.679084581778363,1510479,cpp_adv_stat
4,1000,10,10,100,10,1025743,489101,2.09720078266043,0.524300195665108,1956404,cpp_adv_stat
1,1000,10,10,100,100,9846812,9846812,1,1,9846812,cpp_adv_stat
2,1000,10,10,100,100,9846812,5598686,1.75877196899415,0.879385984497077,11197372,cpp_adv_stat
3,1000,10,10,100,100,9846812,4340327,2.26867975615662,0.75622658538554,13020981,cpp_adv_stat
4,1000,10,10,100,100,9846812,3874052,2.54173459726405,0.635433649316013,15496208,cpp_adv_stat
1,1000,10,100,100,10,9127814,9127814,1,1,9127814,cpp_adv_stat
2,1000,10,100,100,10,9127814,5162533,1.76808826209924,0.884044131049622,10325066,cpp_adv_stat
3,1000,10,100,100,10,9127814,4046790,2.25556898183499,0.751856327278328,12140370,cpp_adv_stat
4,1000,10,100,100,10,9127814,3750005,2.43408048789268,0.608520121973171,15000020,cpp_adv_stat
1,1000,10,100,100,100,88787462,88787462,1,1,88787462,cpp_adv_stat
2,1000,10,100,100,100,88787462,56248800,1.57847744307434,0.789238721537171,112497600,cpp_adv_stat
3,1000,10,100,100,100,88787462,55137425,1.61029395188477,0.536764650628256,165412275,cpp_adv_stat
4,1000,10,100,100,100,88787462,52588415,1.68834641622114,0.422086604055285,210353660,cpp_adv_stat
